English_United_States_Def,English_United_States,English_United_States,German_Def,German,Russian_Def,Russian,Russian,Spanish_Def,Spanish,Spanish,Chinese_PRC_Def,Chinese_PRC
"A Bitcoin address is similar to a physical address or an email. It is the only information you need to provide for someone to pay you with Bitcoin. An important difference, however, is that each address should only be used for a single transaction.",Address,,"Eine Bitcoin-Adresse ist wie eine Haus- oder E-Mail-Adresse. Es ist die einzige Information, die Sie weitergeben müssen, um Bitcoin-Zahlungen zu empfangen. Ein wichtiger Unterschied ist aber, dass man jede Adresse nur für eine einzige Transaktion verwenden sollte.",Adresse,"Биткойн-адрес похож на физический адрес или на е-мейл. Это единственная информация, которую вам нужно предоставить кому-либо, чтобы он вам заплатил при помощи Биткойна. Единственная разница в том, что каждый адрес следует использовать лишь для одной транзакции.",Адрес,,"Una direccion Bitcoin es parecida a una dirección física o correo electrónico. Es la única información que tiene que dar a alguien para recibir un pago en Bitcoin. Sin embargo, hay una diferencia importante, y es que cada dirección sólo debería usarse para una transacción.",Dirección,,比特币地址就像一个物理地址或者电子邮件地址。这是别人付给你比特币时你唯一需要提供的信息。然而一个重要的区别是，每个地址应该只用于单笔交易。,比特币地址
"Bit is a common unit used to designate a sub-unit of a bitcoin - 1,000,000 bits is equal to 1 bitcoin (BTC). This unit is usually more convenient for pricing tips, goods and services.",Bit,,"Bit ist eine häufig verwendete Einheit und stellt den Bruchteil eines ganzen Bitcoins dar - 1.000.000 Bits entsprechen einem Bitcoin (BTC). Bits sind häufig besser dafür geeignet, die Preise von Trinkgeld, Waren und Dienstleistungen anzugeben.",Bit,Бит - это широко используемая дробная номинация биткойна. 1 000 000 (миллион) битов равен одному биткойну (BTC или ₿). В битах гораздо удобнее указывать цены товаров и услуг и оставлять чаевые.,Бит,,,Bit,,"Bit 是次于比特币的一个常用单位 -- 1,000,000 bits 等于1个比特币。这个单位通常在标示小费，商品和服务时更加方便。",Bit
"Bitcoin - with capitalization, is used when describing the concept of Bitcoin, or the entire network itself. e.g. ""I was learning about the Bitcoin protocol today.""",Bitcoin,,"""Bitcoin"" wird zur Beschreibung des Konzepts von Bitcoin, aber auch für das gesamte Bitcoin-Netzwerk verwendet. Zum Beispiel: ""Ich habe heute etwas über das Bitcoin-Protokoll gelernt"".",Bitcoin,"Биткойн - с заглавной буквы, используется для описания концепции Биткойна, или всей сети в целом. Например: ""Я сегодня изучал протокол Биткойна"".",Биткойн,,"Bitcoin - con B mayúscula, se utiliza para describir el concepto de Bitcoin, o la totalidad de la red. Por ejemplo: ""Hoy estuve aprendiendo sobre el protocolo Bitcoin.""",Bitcoin,,首字母大写的Bitcoin用来表示比特币的概念或整个比特币网络本身。例如：“今天我学了些有关Bitcoin协议的内容。”,比特币
"bitcoin - without capitalization, is used to describe bitcoins as a unit of account. e.g. ""I sent ten bitcoins today.""; it is also often abbreviated BTC or XBT.",bitcoin,,"""Bitcoin"" wird aber auch als Rechnungseinheit verwendet. Zum Beispiel: ""Ich habe heute zehn Bitcoins versendet"". Als Rechnungseinheit wird er häufig mit BTC oder XBT abgekürzt.",Bitcoin,"Для обозначения валюты или расчетной единицы используется слово с прописной буквы: биткойн, биткойны. Например: ""Я послал 10 биткойнов сегодня.""; также часто используется аббревиатура BTC или XBT.",биткойн,,"bitcoin - sin mayúscula, se utiliza para describir una unidad del mismo. Por ejemplo: ""Hoy he enviado diez bitcoins.""; a menudo se abrevia como BTC o XBT.",bitcoin,,而没有大写的bitcoin则表示一个记账单位。例如：“我今天转出了10个bitcoin。”该单位通常也简写为BTC或XBT。,比特币
The block chain is a public record of Bitcoin transactions in chronological order. The block chain is shared between all Bitcoin users. It is used to verify the permanence of Bitcoin transactions and to prevent double spending.,Block Chain,Blockchain,"Die Blockchain ist ein chronologisch geordnetes öffentliches Register aller Bitcoin-Transaktionen. Alle Bitcoin-Nutzer teilen sich die selbe Blockchain. Sie wird verwendet, um die Beständigkeit von Bitcoin-Transaktionen zu bestätigen und um doppelte Ausgaben zu verhindern.",Blockchain,Цепочка блоков (блокчейн) - это публичная запись всех биткойн-транзакций в хронологическом порядке. Цепочка блоков едина для всех пользователей Биткойна. Она используется для обеспечения неизменности биткойн-транзакций и для предотвращения двойных трат.,Цепочка блоков,блокчейн,La cadena de bloques es un registro público de las transacciones Bitcoin en orden cronológico. La cadena de bloques se comparte entre todos los usuarios de Bitcoin. Se utiliza para verificar la estabilidad de las transacciones Bitcoin y para prevenir el doble gasto.,Cadena de bloques,,块链是一个按时间顺序排列的比特币交易公共记录。块链由所有比特币用户共享。它被用来验证比特币交易的永久性并防止双重消费。,块链
"A block is a record in the block chain that contains and confirms many waiting transactions. Roughly every 10 minutes, on average, a new block including transactions is appended to the block chain through mining.",Block,,"Ein Block ist ein Datensatz in der Blockchain, der viele ausstehende Transaktionen enthält und bestätigt. Durch Miningwird durchschnittlich alle 10 Minuten ein neuer Block inkl. Transaktionen an die Blockchain angehangen.",Block,"Блок - это запись в цепочке блоков, которая содержит в себе множество ожидающих подтверждения транзакций и подтверждает их. Грубо говоря, каждые 10 минут благодаря майнингу в цепочку добавляется новый блок транзакций.",Блок,,"Un bloque es un registro en la cadena de bloques que contiene confirmaciones de transacciones pendientes. Aproximadamente cada 10 minutos, en promedio, un nuevo bloque que incluye nuevas transacciones se anexa a la cadena de bloques a traves de la minería.",Bloque,,一个块是块链中的一条记录，包含并确认待处理的交易。平均约每10分钟就有一个包含交易的新块通过挖矿的方式添加到块链中。,区块
BTC is a common unit used to designate one bitcoin.,BTC,,BTC ist eine gängige Einheit für einen Bitcoin.,BTC,Сокращение BTC часто используется для обозначение одного биткойна (также ₿).,BTC,,"BTC es la unidad común de la moneda Bitcoin. Puede utilizarse igual que se utiliza USD cuando nos referimos al dólar estadounidense, en lugar de usar ₿ o $ para referirnos a ellos.",BTC,,BTC 是用于标示一个比特币 (B⃦). 的常用单位。,BTC
"Confirmation means that a transaction has been processed by the network and is highly unlikely to be reversed. Transactions receive a confirmation when they are included in a block and for each subsequent block. Even a single confirmation can be considered secure for low value transactions, although for larger amounts like $1000 USD, it makes sense to wait for 6 confirmations or more. Each confirmation exponentially decreases the risk of a reversed transaction.",Confirmation,,"Bestätigung bedeutet, dass eine Transaktion durch das Netzwerk verifiziert wurde und eine Rückabwicklung sehr unwahrscheinlich ist. Transaktionen erhalten eine Bestätigung, wenn sie in einen Block aufgenommen werden, sowie für jeden darauffolgenden Block. Selbst eine einzelne Bestätigung kann für kleine Transaktionen als sicher angesehen werden, wobei es bei größeren Geldmengen (z.B. 1000€) sinnvoll ist auf sechs oder mehr Bestätigungen zu warten. Jede neue Bestätigung reduziert das Risiko einer Rückabwicklung exponentiell.",Bestätigung,"Подтверждение означает, что транзакция была обработана сетью и почти наверняка не будет отменена. Транзакции получают подтверждения, когда они включены в блок и во все последующие блоки. Даже единственное подтверждение может быть сочтено безопасным для транзакции небольшого объема, тем не менее, для больших сумм, таких как 1000 долларов США и более, будет разумно подождать не менее 6 подтверждений. Каждое подтверждение экспоненциально уменьшает риск отмены транзакции.",Подтверждение,,"Una confirmación significa que una transacción ha sido procesada por la red y es poco probable que sea revertida. Las transacciones son confirmadas cuando son incluidas en un bloque y por cada bloque siguiente. Incluso una única confirmación se puede considerar segura para transacciones pequeñas, aunque para transacciones más grandes como 1000 USD, tiene sentido esperar hasta 6 confirmaciones o más. Cada confirmación reduce exponecialmente el riesgo de que la transacción sea revertida.",Confirmación,,交易确认意味着一笔交易已经 被网络处理且不太可能被撤销。当交易被包含进一个 区块时会收到一个确认，后续的每一个区块都会增加一个确认。对于小金额交易单个确认便可视为安全，然而对于比如1000美元的大金额交易，等待6个以上的确认比较合理。每一个确认都成 指数级地降低交易撤销的风险。,交易确认
"Cryptography is the branch of mathematics that lets us create mathematical proofs that provide high levels of security. Online commerce and banking already uses cryptography. In the case of Bitcoin, cryptography is used to make it impossible for anybody to spend funds from another user's wallet or to corrupt the block chain. It can also be used to encrypt a wallet, so that it cannot be used without a password.",Cryptography,,"Kryptographie ist ein Teilgebiet der Mathematik, mit dessen Hilfe mathematische Beweise erstellt werden, die ein hohes Maß an Sicherheit bieten. Der Online-Handel und Banken nutzen Kryptographie bereits. Im Falle von Bitcoin wird Kryptographie verwendet, um auszuschließen, dass jemand Geld aus fremden Wallets ausgibt oder die Blockchain manipuliert. Kryptographie kann auch verwendet werden, um eine Wallet zu verschlüsseln, so dass sie nicht ohne Passwort verwendet werden kann.",Kryptographie,"Криптография - это область знаний, изучающая методы обеспечения секретности сообщения, надежность которых доказывается математически. В интернет-коммерции и банковском деле уже давно используются криптографические методы. В Биткойне криптография используется для предотвращения возможности потратить средства из чужого кошелька или повредить цепочку блоков. Помимо этого, она используется для шифрования кошелька, чтобы его нельзя было использовать без пароля.",Криптография,,"La criptografía es la rama de las matemáticas que nos permite crear pruebas matemáticas que proporcionan altos niveles de seguridad. El comercio en línea y los bancos ya utilizan criptografía. En el caso de Bitcoin, la criptografía se utiliza para hacer imposible que alguien pueda gastar los fondos del monedero de otro usuario o que se pueda corromper la cadena de bloques. También se utilizada para encriptar un monedero, de manera que no se pueda utilizar sin una contraseña.",Criptografía,,密码学是数学的一个分支，它让我们创造出可以提供很高安全性的数学证明。电子商务和网上银行也用到了密码学。对于比特币来说，密码学用来保证任何人都不可能使用他人钱包里的资金，或者破坏块链。密码学也用来给钱包加密，这样没有密码就用不了钱包。,密码学
"If a malicious user tries to spend their bitcoins to two different recipients at the same time, this is double spending. Bitcoin mining and the block chain are there to create a consensus on the network about which of the two transactions will confirm and be considered valid.",Double Spend,,"Wenn ein bösartiger Nutzer versucht Bitcoins gleichzeitig an zwei verschiedene Empfänger zu versenden, wird von doppelter Ausgabe (engl. Double Spending) gesprochen. Bitcoin-Mining und die Blockchain sind dazu da, im Netzwerk ein Konsens zu bilden, welche der beiden Transaktionen bestätigt und als gültig angesehen wird.",Doppelausgabe,"Если злоумышленник пробует потратить свои биткойны на две разные сделки, в одно и тоже время, это называется двойной тратой. Биткойн-майнинги цепочка блоков существуют, чтобы сеть могла однозначно согласовать, которую из этих транзакций подтвердить, и соответственно считать действительной.",Повторное расходование,,Cuando un usuario malintencionado intenta gastar sus bitcoins en dos destinatarios al mismo tiempo se denomina doble gasto. La minería de Bitcoin y la cadena de bloques permiten crear un consenso en la red acerca de cuál de las dos transacciones es considerada válida.,Doble gasto,,如果一个不怀好意的用户试图将比特币同时支付给两个不同的收款人，就被称为双重消费。比特币挖矿和块链将就两比交易中那笔获得确认并被视为有效在网络上达成一致。,双重消费
