English_United_States,English_United_States_Def,Arabic,Arabic_Def,French,French_Def,Finnish,Finnish_Def,German,German_Def,Italian,Italian_Def,Russian,Russian_Def,Spanish,Spanish_Def,Chinese_Hant,Chinese_Hant_Def
Address,"A Bitcoin address is similar to a physical address or an email. It is the only information you need to provide for someone to pay you with Bitcoin. An important difference, however, is that each address should only be used for a single transaction.",,,Adresse,"Une adresse Bitcoin est similaire à une adresse physique ou une adresse courriel. Il s'agit de la seule information que vous avez besoin de fournir pour que quelqu'un vous paie avec Bitcoin. Une différence importante toutefois, est que chaque adresse Bitcoin ne devrait être utilisée que pour une seule transaction.",,,Adresse,"Eine Bitcoin-Adresse ist wie eine Haus- oder E-Mail-Adresse. Es ist die einzige Information, die Sie weitergeben müssen, um Bitcoin-Zahlungen zu empfangen. Ein wichtiger Unterschied ist aber, dass man jede Adresse nur für eine einzige Transaktion verwenden sollte.",Indirizzo,"Un indirizzo Bitcoin è equivalente ad un indirizzo fisico o ad una e-mail. E' la sola informazione che devi fornire a qualcuno affinchè possa pagarti con Bitcoin. Una differenza importante, comunque, è che ogni indirizzo dovrebbe essere utilizzato unicamente per una singola transazione.",Адрес,"Биткойн-адрес похож на физический адрес или на е-мейл. Это единственная информация, которую вам нужно предоставить кому-либо, чтобы он вам заплатил при помощи Биткойна. Единственная разница в том, что каждый адрес следует использовать лишь для одной транзакции.",Dirección,"Una direccion Bitcoin es parecida a una dirección física o correo electrónico. Es la única información que tiene que dar a alguien para recibir un pago en Bitcoin. Sin embargo, hay una diferencia importante, y es que cada dirección sólo debería usarse para una transacción.",,
Bit,"Bit is a common unit used to designate a sub-unit of a bitcoin - 1,000,000 bits is equal to 1 bitcoin (BTC). This unit is usually more convenient for pricing tips, goods and services.",,,Bit,"Bit est une unité courante utilisée pour désigner une sous-unité d'un bitcoin - 1 000 000 bits est égal à 1 bitcoin (BTC or ₿). Cette unité est souvent plus pratique pour fixer les prix des pourboires, des biens et des services.",,,Bit,"Bit ist eine häufig verwendete Einheit und stellt den Bruchteil eines ganzen Bitcoins dar - 1.000.000 Bits entsprechen einem Bitcoin (BTC). Bits sind häufig besser dafür geeignet, die Preise von Trinkgeld, Waren und Dienstleistungen anzugeben.",Bit,"Il bit è un'unità comune utilizzata per indicare una sotto-unità del bitcoin - 1,000,000 di bit equivalgono a 1 bitcoin (BTC). Questa unità è solitamente più appropriata per dare un valore a una mancia, oggetti e servizi.",Бит,Бит - это широко используемая дробная номинация биткойна. 1 000 000 (миллион) битов равен одному биткойну (BTC или ₿). В битах гораздо удобнее указывать цены товаров и услуг и оставлять чаевые.,Bit,,,
Bitcoin,"Bitcoin - with capitalization, is used when describing the concept of Bitcoin, or the entire network itself. e.g. ""I was learning about the Bitcoin protocol today.""",,,Bitcoin,"Bitcoin - avec une majuscule, est utilisé pour décrire le concept du Bitcoin ou le réseau lui-même. Ex. ""Je me suis intéressé au protocole Bitcoin aujourd'hui""",,,Bitcoin,"""Bitcoin"" wird zur Beschreibung des Konzepts von Bitcoin, aber auch für das gesamte Bitcoin-Netzwerk verwendet. Zum Beispiel: ""Ich habe heute etwas über das Bitcoin-Protokoll gelernt"".",Bitcoin,"Bitcoin - con la maiuscola, è usata quando si descrive il concetto di Bitcoin, o l'intero network stesso. Per esempio "" Oggi stavo studiando il protocollo di Bitcoin.""",Биткойн,"Биткойн - с заглавной буквы, используется для описания концепции Биткойна, или всей сети в целом. Например: ""Я сегодня изучал протокол Биткойна"".",Bitcoin,"Bitcoin - con B mayúscula, se utiliza para describir el concepto de Bitcoin, o la totalidad de la red. Por ejemplo: ""Hoy estuve aprendiendo sobre el protocolo Bitcoin.""",,
bitcoin,"bitcoin - without capitalization, is used to describe bitcoins as a unit of account. e.g. ""I sent ten bitcoins today.""; it is also often abbreviated BTC or XBT.",,,bitcoin,"bitcoin - sans majuscule, est utilisé pour désigner les bitcoins en tant qu'unité de compte. Ex. ""J'ai envoyé dix bitcoins aujourd'hui"". On le retrouve souvent sous sa forme abrégée BTC ou XBT.",,,Bitcoin,"""Bitcoin"" wird aber auch als Rechnungseinheit verwendet. Zum Beispiel: ""Ich habe heute zehn Bitcoins versendet"". Als Rechnungseinheit wird er häufig mit BTC oder XBT abgekürzt.",bitcoin,"bitcoin - senza maiuscola, è usata per descrivere i bitcoin come un'unità di conto. Per esempio ""Ti ho mandato dieci bitcoin oggi.""; inoltre, è spesso abbreviato in BTC o XBT.",биткойн,"Для обозначения валюты или расчетной единицы используется слово с прописной буквы: биткойн, биткойны. Например: ""Я послал 10 биткойнов сегодня.""; также часто используется аббревиатура BTC или XBT.",bitcoin,"bitcoin - sin mayúscula, se utiliza para describir una unidad del mismo. Por ejemplo: ""Hoy he enviado diez bitcoins.""; a menudo se abrevia como BTC o XBT.",,
Blockchain,The block chain is a public record of Bitcoin transactions in chronological order. The block chain is shared between all Bitcoin users. It is used to verify the permanence of Bitcoin transactions and to prevent double spending.,,,Chaine de blocs,La chaine de blocs est un journal public de toutes les transactions Bitcoin par ordre chronologique. Elle est partagée entre tous les utilisateurs du réseau Bitcoin. Elle est utilisée pour vérifier la permanence des transactions Bitcoin et empêcher la double dépense.,,,Blockchain,"Die Blockchain ist ein chronologisch geordnetes öffentliches Register aller Bitcoin-Transaktionen. Alle Bitcoin-Nutzer teilen sich die selbe Blockchain. Sie wird verwendet, um die Beständigkeit von Bitcoin-Transaktionen zu bestätigen und um doppelte Ausgaben zu verhindern.",Block Chain,La block chain è un registro pubblico delle transazioni Bitcoin in ordine cronologico. La block chain è condivisa tra tutti gli utenti Bitcoin. È utilizzata per verificare la permanenza delle transazioni Bitcoin e per prevenire double spending.,Цепочка блоков,Цепочка блоков (блокчейн) - это публичная запись всех биткойн-транзакций в хронологическом порядке. Цепочка блоков едина для всех пользователей Биткойна. Она используется для обеспечения неизменности биткойн-транзакций и для предотвращения двойных трат.,Cadena de bloques,La cadena de bloques es un registro público de las transacciones Bitcoin en orden cronológico. La cadena de bloques se comparte entre todos los usuarios de Bitcoin. Se utiliza para verificar la estabilidad de las transacciones Bitcoin y para prevenir el doble gasto.,,
Block,"A block is a record in the block chain that contains and confirms many waiting transactions. Roughly every 10 minutes, on average, a new block including transactions is appended to the block chain through mining.",,,Bloc,"Un bloc est un enregistrement dans la chaine de blocs qui contient et confirme plusieurs transactions en attente. Toutes les 10 minutes, en moyenne, un nouveau bloc contenant des transactions est ajouté à la chaine de blocs par le minage.",,,Block,"Ein Block ist ein Datensatz in der Blockchain, der viele ausstehende Transaktionen enthält und bestätigt. Durch Miningwird durchschnittlich alle 10 Minuten ein neuer Block inkl. Transaktionen an die Blockchain angehangen.",Blocco,"Un blocco è una parte della blockchain che contiene e conferma molte transazioni in attesa. In media circa ogni 10 minuti un nuovo blocco, che include delle transazioni, viene aggiunto alla blockchain attraverso il processo di mining.",Блок,"Блок - это запись в цепочке блоков, которая содержит в себе множество ожидающих подтверждения транзакций и подтверждает их. Грубо говоря, каждые 10 минут благодаря майнингу в цепочку добавляется новый блок транзакций.",Bloque,"Un bloque es un registro en la cadena de bloques que contiene confirmaciones de transacciones pendientes. Aproximadamente cada 10 minutos, en promedio, un nuevo bloque que incluye nuevas transacciones se anexa a la cadena de bloques a traves de la minería.",,
BTC,BTC is a common unit used to designate one bitcoin.,,,BTC,BTC est une unité courante pour désigner un bitcoin (₿).,,,BTC,BTC ist eine gängige Einheit für einen Bitcoin.,BTC,Il BTC è un'unità comune utilizzata per designare un bitcoin.,BTC,Сокращение BTC часто используется для обозначение одного биткойна (также ₿).,BTC,"BTC es la unidad común de la moneda Bitcoin. Puede utilizarse igual que se utiliza USD cuando nos referimos al dólar estadounidense, en lugar de usar ₿ o $ para referirnos a ellos.",,
Confirmation,"Confirmation means that a transaction has been processed by the network and is highly unlikely to be reversed. Transactions receive a confirmation when they are included in a block and for each subsequent block. Even a single confirmation can be considered secure for low value transactions, although for larger amounts like $1000 USD, it makes sense to wait for 6 confirmations or more. Each confirmation exponentially decreases the risk of a reversed transaction.",,,Confirmation,"Une confirmation signifie qu'une transaction a été traitée par le réseau et que ses chances d'être renversée sont quasiment inexistantes. Les transactions reçoivent une confirmation lorsqu'elles sont incluses dans un bloc et pour chaque bloc subséquent. Même une seule confirmation peut offrir une sécurité suffisante pour de petites transactions, alors que pour de plus grandes sommes telles que 1 000 $, il est prudent d'attendre 6 confirmations ou plus. Chaque confirmation diminue exponentiellement le risque d'un renversement de transaction.",,,Bestätigung,"Bestätigung bedeutet, dass eine Transaktion durch das Netzwerk verifiziert wurde und eine Rückabwicklung sehr unwahrscheinlich ist. Transaktionen erhalten eine Bestätigung, wenn sie in einen Block aufgenommen werden, sowie für jeden darauffolgenden Block. Selbst eine einzelne Bestätigung kann für kleine Transaktionen als sicher angesehen werden, wobei es bei größeren Geldmengen (z.B. 1000€) sinnvoll ist auf sechs oder mehr Bestätigungen zu warten. Jede neue Bestätigung reduziert das Risiko einer Rückabwicklung exponentiell.",Conferma,"La conferma indica che una transazione è stata processata dalla rete ed è altamente improbabile che sia annullata. Le transazioni ricevono una conferma quando sono incluse in un blocco e ad ogni blocco successivo. Anche una singola conferma può essere considerata sicura per transazioni di basso valore, sebbene per cifre maggiori come $1000 USD, è consigliabile attendere almeno 6 conferme. Ogni conferma diminuisce esponenzialmente il rischio che una transazione sia annullata.",Подтверждение,"Подтверждение означает, что транзакция была обработана сетью и почти наверняка не будет отменена. Транзакции получают подтверждения, когда они включены в блок и во все последующие блоки. Даже единственное подтверждение может быть сочтено безопасным для транзакции небольшого объема, тем не менее, для больших сумм, таких как 1000 долларов США и более, будет разумно подождать не менее 6 подтверждений. Каждое подтверждение экспоненциально уменьшает риск отмены транзакции.",Confirmación,"Una confirmación significa que una transacción ha sido procesada por la red y es poco probable que sea revertida. Las transacciones son confirmadas cuando son incluidas en un bloque y por cada bloque siguiente. Incluso una única confirmación se puede considerar segura para transacciones pequeñas, aunque para transacciones más grandes como 1000 USD, tiene sentido esperar hasta 6 confirmaciones o más. Cada confirmación reduce exponecialmente el riesgo de que la transacción sea revertida.",,
Cryptography,"Cryptography is the branch of mathematics that lets us create mathematical proofs that provide high levels of security. Online commerce and banking already uses cryptography. In the case of Bitcoin, cryptography is used to make it impossible for anybody to spend funds from another user's wallet or to corrupt the block chain. It can also be used to encrypt a wallet, so that it cannot be used without a password.",,,Cryptographie,"La cryptographie est une branche des mathématiques qui permet de créer des preuves mathématiques qui offrent un haut niveau de sécurité. Les commerces et banques en ligne utilisent déjà la cryptographie. Avec Bitcoin, la cryptographie est utilisée pour empêcher quiconque de dépenser les fonds provenant du portefeuille d'un autre utilisateur et pour empêcher la corruption de la chaine de blocs. Elle peut aussi être utilisée pour chiffrer un portefeuille afin qu'il ne puisse être utilisé qu'avec un mot de passe.",,,Kryptographie,"Kryptographie ist ein Teilgebiet der Mathematik, mit dessen Hilfe mathematische Beweise erstellt werden, die ein hohes Maß an Sicherheit bieten. Der Online-Handel und Banken nutzen Kryptographie bereits. Im Falle von Bitcoin wird Kryptographie verwendet, um auszuschließen, dass jemand Geld aus fremden Wallets ausgibt oder die Blockchain manipuliert. Kryptographie kann auch verwendet werden, um eine Wallet zu verschlüsseln, so dass sie nicht ohne Passwort verwendet werden kann.",Crittografia,"La crittografia è quella branca della matematica che ci consente di creare prove matematiche che forniscono elevati livelli di sicurezza. Il commercio e le operazioni bancarie online impiegano già la crittografia. Nel caso di Bitcoin la crittografia è impiegata per rendere impossibile a chiunque di spendere del denaro dal portafoglio di un altro utente o alterare la block chain. Può essere anche utilizzata per criptare un portafoglio, in modo che non possa essere usato senza una passowrd.",Криптография,"Криптография - это область знаний, изучающая методы обеспечения секретности сообщения, надежность которых доказывается математически. В интернет-коммерции и банковском деле уже давно используются криптографические методы. В Биткойне криптография используется для предотвращения возможности потратить средства из чужого кошелька или повредить цепочку блоков. Помимо этого, она используется для шифрования кошелька, чтобы его нельзя было использовать без пароля.",Criptografía,"La criptografía es la rama de las matemáticas que nos permite crear pruebas matemáticas que proporcionan altos niveles de seguridad. El comercio en línea y los bancos ya utilizan criptografía. En el caso de Bitcoin, la criptografía se utiliza para hacer imposible que alguien pueda gastar los fondos del monedero de otro usuario o que se pueda corromper la cadena de bloques. También se utilizada para encriptar un monedero, de manera que no se pueda utilizar sin una contraseña.",,
Double Spend,"If a malicious user tries to spend their bitcoins to two different recipients at the same time, this is double spending. Bitcoin mining and the block chain are there to create a consensus on the network about which of the two transactions will confirm and be considered valid.",,,Double dépense,"Si un utilisateur mal intentionné essaie de dépenser ses bitcoins auprès de deux destinataires différents au même moment, il s'agit d'une double dépense. Le minage et la chaine de blocs existent pour créer un consensus dans le réseau afin de décider laquelle des deux transactions sera confirmée et considérée valide.",,,Doppelausgabe,"Wenn ein bösartiger Nutzer versucht Bitcoins gleichzeitig an zwei verschiedene Empfänger zu versenden, wird von doppelter Ausgabe (engl. Double Spending) gesprochen. Bitcoin-Mining und die Blockchain sind dazu da, im Netzwerk ein Konsens zu bilden, welche der beiden Transaktionen bestätigt und als gültig angesehen wird.",Double Spend,"Se un utente malintenzionato prova a spendere i propri bitcoin verso due diversi riceventi contemporaneamente, si tratta di doppia spesa. Il mining di Bitcoin ed il block chain esistono per creare un consenso sulla rete, per decidere quale delle due transazioni sia considerata valida.",Повторное расходование,"Если злоумышленник пробует потратить свои биткойны на две разные сделки, в одно и тоже время, это называется двойной тратой. Биткойн-майнинги цепочка блоков существуют, чтобы сеть могла однозначно согласовать, которую из этих транзакций подтвердить, и соответственно считать действительной.",Doble gasto,Cuando un usuario malintencionado intenta gastar sus bitcoins en dos destinatarios al mismo tiempo se denomina doble gasto. La minería de Bitcoin y la cadena de bloques permiten crear un consenso en la red acerca de cuál de las dos transacciones es considerada válida.,,
