term,pos,comment,af,comment_af,ar,comment_ar,be,comment_be,bg,comment_bg,bn,comment_bn,ca,comment_ca,cs,comment_cs,da,comment_da,de,comment_de,el,comment_el,eo,comment_eo,es,comment_es,et,comment_et,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,gu,comment_gu,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,km,comment_km,ko,comment_ko,ku,comment_ku,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr,comment_mr,ms,comment_ms,my,comment_my,nl,comment_nl,no,comment_no,pl,comment_pl,pt_BR,comment_pt_BR,pt_PT,comment_pt_PT,ro,comment_ro,ru,comment_ru,si,comment_si,sk,comment_sk,sl,comment_sl,sq,comment_sq,sr,comment_sr,sv,comment_sv,ta,comment_ta,th_TH,comment_th_TH,tr,comment_tr,uk,comment_uk,ur,comment_ur,uz,comment_uz,vi,comment_vi,zh_CN,comment_zh_CN,zh_TW,comment_zh_TW
2FA,Noun,,,,التعريف الثنائي,,,,,,,,,,,,,,,,2FA,,,,A2F,autenticación de dos factores,,,,,,,,,,,,,,,,,,,2FA,,,,,,Autenticazione a 2 fattori,,,,,, ២FA,,,,,,2FA,,,,,,,,,,,,,,,,2FA,,,,,,,,2FA,,,,2-факторная авторизация,,,,,,,,,,,,2FA,,,,,,,,,,,,,,,,双重验证,,,
API,Noun,,,,,,,,,,,,,,,,,,,,API,,,,API,,,,,,,,,,,,,,,,,,,,,,API,,,,API,,,,,,API,,,,,,API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATM,Noun,,,,,,,,,,,,,,,,,,,,ATM,,,,cajero,,,,,,,,,,,,,,,,,,,,,,ATM,,,,ATM,,,,,,ATM,,,,,,ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoin,Noun,Referring to the Bitcoin network or to the whole concept.,,,بت كوين,,,,,,,,,,,,,,,,"Bitcoin, δίκτυο",,,,Bitcoin,"Se refiere a la red Bitcoin o al concepto de Bitcoin como tal, pero no a la moneda como unidad.",,,بیت‌کوین,,,,,,Bitcoin,,,,ביטקוין,,,,Bitcoin,,Bitcoin,"Nagybetűvel, ha a rendszerre, hálózatra vagy magára az elképzelésre stb. utalunk.",,,,,Bitcoin,Si riferisce alla rete Bitcoin o l'intero concetto.,,,,,Bitcoin,,,,,,„Bitcoin“,,,,,,,,,,,,,,,,Bitcoin,,,,Bitcoin,,,,Bitcoin,Sistema de pagamento,,,Биткойн,,,,,,bitcoin,,,,,,Bitcoin,Syftar på Bitcoinnätverket eller hela begreppet.,பிட்காயின்,,,,,,Біткойн,,,,,,,,比特币,,,
Bitcoin Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ליבת ביטקוין,,,,,,Bitcoin Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bitcoin Core,,,,,,,,பிட்காயின் கோர்,,,,,,,,,,,,,,,,,
Bitcoin Core,Noun,,,,نواة بت كوين,,,,,,,,,,,,,,,,Προγραμματιστές Bitcoin,,,,núcleo de Bitcoin,"Es el centro, el núcleo de algo, su parte más importante",,,هسته بیت کوین,,,,,,,,,,גירסת בסיס של ביטקוין,,,,Bitcoin Core,,Bitcoin Core,,,,,,Bitcoin Core,,,,,,ស្នូលBitcoin,,,,,,„Bitcoin Core“,"Reiktų žiūrėti, kad nesidubliuotų kabutės.",,,,,,,,,,,,,,,,,,,,,,,Bitcoin Core,,,,Bitcoin Core,,,,,,Bitcoin Core,,,,,,Bitcoin Core,,பிட்காயின் கோர்,,,,,,,,,,,,,,比特币核心,,,
Bitcoin Foundation,Noun,,,,مؤسسة بت كوين,,,,,,,,Fundació Bitcoin,,,,,,,,Ίδρυση του Bitcoin,,,,Fundación Bitcoin,,,,بنیاد بیت کوین,,,,,,Fondation Bitcoin,,,,קרן ביטקוין,,,,Bitcoin fondacija,,Bitcoin Alapítvány,,,,,,Organizzazione Bitcoin,,,,,,មូលិធិBitcoin,,Bitcoin 재단,,,,„Bitcoin Foundation“,,,,,,ബിറ്റ്കോയിൻ സ്ഥാപനം,,,,,,,,,,Bitcoin Foundation,,,,Fundacja Bitcoin,,,,Fundação Bitcoin,,,,Bitcoin Foundation,,,,,,Fundacija Bitcoin,,,,,,Bitcoinstiftelsen,,பிட்காயின் நிறுவனம்,,,,Bitcoin Kurumu,,,,,,,,,,比特币基金会,,,
Bitcoin Wallet,Noun,,,,محفظة بت كوين,,,,,,,,,,,,,,,,Bitcoin πορτοφόλι,,,,monedero Bitcoin,,,,,,,,,,Portefeuille Bitcoin,,,,ארנק ביטקוין,,,,Bitcoin Novčanik,,Bitcoin Wallet,"Android app terméknév, nem szabad bántani.",Wallet Bitcoin,,,,Portafoglio Bitcoin,,,,,,កាបូបBitcoin,,,,,,Bitcoin Piniginė,,Bitcoin naudasmaks,,,,,,,,,,,,,,Bitcoin Wallet,Only use this for the app name!,,,Portfel Bitcoin,,,,Carteira Bitcoin,,,,биткойн-кошелек,,,,,,bitcoin denarnica,,,,,,Bitcoin Wallet,,பிட்காயின் வாலட்,,,,,,Біткойн Гаманець,,,,,,,,比特币钱包,,,
Bitcoin Wiki,Noun,,,,,,,,,,,,,,,,,,,,Bitcoin εγκυκλοπαίδεια,,,,,,,,,,,,,,,,,,,,,,,,Bitcoin Wiki,,,,,,Bitcoin Wiki,,,,,,,,,,,,„Bitcoin“ vikis,,,,,,,,,,,,,,,,,,,,,,,,Wiki Bitcoin,,,,,,,,,,,,,,,,Bitcoin Wiki,,பிட்காயின் விக்கி,,,,,,,,,,,,,,比特币维基,,,
Bitcoin address,Noun,,,, عنوان بت كوين ,,,,,,,,,,,,,,Bitcoin-Adresse,,Bitcoin διεύθυνση,,,,dirección de Bitcoin,,,,آدرس بیت‌کوین,,,,,,adresse Bitcoin,,,,כתובות ביטקוין,,,,Bitcoin adresa,,Bitcoin-címek,,,,,,indirizzo Bitcoin,,,,,,អាស្រយដ្ឋានBitcoin,,,,,,„Bitcoin“ adresas,,,,,,,,,,,,,,,,Bitcoin-adressen,,,,adres Bitcoin,,,,endereço Bitcoin,,,,биткойн-адрес,,,,,,bitcoin naslov,,,,,,Bitcoinadress,,பிட்காயின் முகவரி,,,,,,,,,,,,,,比特币地址,,,
