term,pos,comment,ach,comment_ach,af,comment_af,am,comment_am,ar,comment_ar,az,comment_az,be,comment_be,bg,comment_bg,bn,comment_bn,bs,comment_bs,ca,comment_ca,cmn,comment_cmn,cs,comment_cs,cy,comment_cy,da,comment_da,de,comment_de,el,comment_el,en_GB,comment_en_GB,eo,comment_eo,es,comment_es,es_CL,comment_es_CL,es_CO,comment_es_CO,es_DO,comment_es_DO,es_MX,comment_es_MX,es_VE,comment_es_VE,et,comment_et,eu,comment_eu,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,hy,comment_hy,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,kk,comment_kk,km,comment_km,ko,comment_ko,ku_IQ,comment_ku_IQ,ky,comment_ky,la,comment_la,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr_IN,comment_mr_IN,ms,comment_ms,my,comment_my,nb,comment_nb,ne,comment_ne,nl,comment_nl,pam,comment_pam,pl,comment_pl,pt,comment_pt,pt_BR,comment_pt_BR,ro,comment_ro,ru,comment_ru,sah,comment_sah,si,comment_si,sk,comment_sk,sl,comment_sl,sn,comment_sn,sq,comment_sq,sr,comment_sr,sr@latin,comment_sr@latin,sv,comment_sv,szl,comment_szl,ta,comment_ta,te,comment_te,th,comment_th,tr,comment_tr,tt,comment_tt,uk,comment_uk,ur,comment_ur,uz@Cyrl,comment_uz@Cyrl,uz@Latn,comment_uz@Latn,vi,comment_vi,yo,comment_yo,zh,comment_zh,zh-Hans,comment_zh-Hans,zh_CN,comment_zh_CN,zh_HK,comment_zh_HK,zh_TW,comment_zh_TW,zu,comment_zu
Bitcoin,Noun,,,,,,,,,,,,,,,,,,,,Bitcoin,,,,,,,,Bitcoin,,Bitcoin,,,,,,,,Bitcoin,,,,Bitcoin,,,,,,,,,,,,,,,,,,Bitcoin,,ביטקוין,,,,,,,,,,Bitcoin,,,,Bitcoin,,ビットコイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bitcoin,"I was told there's a difference between Bitcoin and bitcoin. Capital Bitcoin is the network, bitcoin is the currency. In dutch language both are not translated.",,,Bitcoin,,,,,,,,Биткойн,,,,,,,,,,,,,,,,,,Bitcoin,,,,பிட்காயின்,,బిట్‌కాయిన్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right-click,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ចុចខាងស្តាំ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,Noun,,,,,,,,عنوان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatically,Adverb,,,,outomaties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automático,,,,,,,,,,Automaticamente,,,,,,,,,,,,,,,,,,,,,,,,Otomatis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatisch,,,,,,,,,,,,Автоматически,,,,,,,,,,,,,,,,,,Automatiskt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockchain,Noun,,,,,,,,سلسلة الكتل,,,,,,,,,,,,,,,,,,,,Blokkæde,,Blockchain,,,,,,,,,,,,,,,,,,Cadena  de bloque,,,,,,,,,,,,chaîne de blocs,,בלוקצ'יין,,,,,,,,,,,,,,,,ブロック チェーン,,ბლოკჩეინი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blockchain,"Please, see my block remark",,, łańcuch bloków,,,,,,,,Блокчейн,,,,,,,,,,,,,,,,,,Blockkedja,,,,பிளாக்செயின்,,బ్లాక్ చైన్,,,,Blok zinciri,,,,Ланцюжок блоків,,,,,,,,,,,,,,,,,,,,,,,
Change,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coin Control,Noun,"Should this be regarded as a proper name, or the term being translated into the local language?
*-*-
This is a noun, and should be translated as such.",,,Muntbeheer,,,,,,,,,,Контрол но монетите,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contrôle des pièces,,בקרת מטבעות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontrola Monet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,錢幣控制,,,
Confirmations,Noun,,,,Bevestigings,,,,,,,,,,Потвърждения,,,,,,,,,,,,,,Bekræftelser,,Bestätigungen,,,,,,,,Confirmaciones,,,,,,,,,,,,,,,,,,Varmistuksia,,,,confirmations,,,,,,Potvrde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bevestigingen,,,,Potwierdzenia,,,,,,,,,,,,,,,,,,,,,,,,,,Bekräftelser,,,,,,నిర్ధారణలు,,,,Doğrulama,,,,,,,,,,,,,,,,,,,,确认数,,,,確認,,,
Copy,Verb,,,,,,,,نسخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopiera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
