term,pos,comment,cs_CZ,de,es,fa,fr,it,ja,pt,pt_BR,ru,th_TH,vi,zh_CN,zh_TW
Arbitrator fee,Noun,,,Vermittler-Gebühr,tasa de arbitraje,,,,,,Taxa de arbitragem,,,,,
BSQ,Noun,,,BSQ,BSQ,,,,,BSQ,,BSQ,,,,
BTC,Noun,,,BTC,BTC,,,,,BTC,,,,,,
Bisq,Noun,,,Bisq,Bisq,,,,,Bisq,Bisq,,,,,
Bisq DAO,Noun,,,Bisq DAO,DAO Bisq,,,,,OAD do Bisq,DAO Bisq,,,,,
Bisq exchange,Noun,,,Bisq Tauschbörse,casa de cambio Bisq,,,,,mercado de câmbio do Bisq,exchange Bisq,,,,,
Bisq trade,Noun,,,Bisq-Trade,intercambio en Bisq,,,,,negócio do Bisq,negociação Bisq,сделка в Bisq,,,,
Bitcoin,Noun,,,Bitcoin,Bitcoin,,,,,Bitcoin,Bitcoin,,,,,
Blog,Noun,,,Blog,,,,,,,Blog,,,,,
Bond,Noun,,,Bindung,Garantía,,,,,,Depósito,,,,,
Bonding,Noun,,,Bindung,Garantías,,,,,Vinculação,,,,,,
Browse,Verb,,,Durchsuchen,navegar,,,,,Explorar,,,,,,
CLI wallet,Noun,,,CLI-Wallet,monedero CLI,,,,,carteira CLI,,,,,,
Contributor,Noun,,,Mitwirkender,,,,,,,Contribuidor,,,,,
DAO,Noun,,,DAO,DAO (fem),,,,,OAD,DAO,,,,,
Decentralized Autonomous Organization,Noun,,,Dezentrale Autonome Organisation,Organización Autónoma Decentralizada,,,Organizzazione Autonoma Decentralizzata,,Organização Autónoma Descentralizada,Organização Autônoma Descentralizada,децентрализованная автономная организация (ДАО),,,,
Downloads,Noun,,,Downloads,Descargas,,,,,,Downloads,,,,,
Exchanges,Noun,,,Tauschbörsen,,,,,,,Exchanges,,,,,
Fiat,Noun,,,Fiat,fiat,,,,,,,,,,,
GUI wallet,Noun,,,GUI Wallet,monedero GUI,,,,,carteira GUI,,кошелёк с графическим интерфейсом,,,,
Governance,Noun,,,Governance,Gobernanza,,,,,Governação,,,,,,
HalCash,Noun,,,HalCash,HalCash,,,,,HalCash,,,,,,
ID,Noun,,,ID,ID,,,,,ID,,,,,,
Open,Adjective,,,Offen,Abierto,,,,,Aberto,Aberto,,,,,
Open,Verb,,,Öffnen,Abrir,,,,,Abrir,Abrir,,,,,
P2P,Noun,,,P2P,P2P,,,,,P2P,P2P,,,,,
Tor,Noun,,,Tor,TOR,,,,,,,,,,,
Trade fee,Noun,,,Trade-Gebühr,tasa de intercambio,,,,,,Taxa de negociação,,,,,
UI,Noun,,,UI,"UI, Interfaz de Usuario",,,,,,,,,,,
account,Noun,,,Konto,cuenta,,,,,conta,conta,учётная запись,,,,
account age,Noun,,,Kontoalter,edad de cuenta,,,,,idade da conta,idade da conta,возраст учётной записи,,,,
alert,Noun,,,Warnung,alerta,,,,,alerta,alerta,,,,,
alert,Verb,,,warnen,alertar,,,,,alertar,alertar,,,,,
altcoin,Noun,short term for alternative coin (cryptocurrencies) other than Bitcoin,,Altcoin,altcoin,,,coin alternative,,altcoin,altcoin,альткойн,,,,
application,Noun,,,Anwendung,aplicación,,,applicazione,,programa,programa,приложение,,,,
arbitrator,Noun,,,Vermittler,árbitro,,,Arbitro,,árbitro,árbitro,арбитр,,,,
asset listing,Noun,,,Börsenzulassung,listado de activos,,,,,listagem de ativo,listagem de ativo,,,,,
